subid,counter,trialtype,percentage,sizeasked,searchtype,chosetarget,choselure,chosendistractor,targetshape,targetcolor,targetsize,targetword,distractorshape1,distractorshape2,distractorsize,date,timestamp,rtsearch,rttest,targetpos,foilpos,lurepos,chosenname,chosensize,attncheckscore
76,1,6,20,true,samesize,false,false,1,10,red,small,gade,13,18,big,2/20/2020,20:54,32956,43051,4,2,0,stim-images/object13redsmall.jpg,small,"0
"
76,2,3,10,false,differentsizes,true,false,0,5,purple,big,wug,2,24,small,2/20/2020,20:54,15940,22018,4,1,0,stim-images/object5purplebig.jpg,big,"0
"
76,3,2,15,true,contrast,true,false,0,19,blue,big,blicket,16,17,small,2/20/2020,20:56,43691,42408,4,6,5,stim-images/object19bluebig.jpg,big,"0
"
76,4,5,5,false,samesize,true,false,0,23,green,small,sprock,1,8,big,2/20/2020,20:56,21749,14592,4,2,0,stim-images/object23greensmall.jpg,small,"0
"
76,5,4,5,true,differentsizes,true,false,0,9,purple,small,toma,22,15,big,2/20/2020,20:57,11656,13381,4,2,0,stim-images/object9purplesmall.jpg,small,"0
"
76,6,0,5,true,attncheck,true,false,0,9,purple,small,toma,22,15,big,2/20/2020,20:57,11656,13381,4,2,0,stim-images/object9purplesmall.jpg,small,"5
"
118,1,4,74,true,differentsizes,true,false,1,6,blue,big,gade,21,13,small,2/20/2020,20:37,35897,9268,6,1,0,stim-images/object6bluebig.jpg,big,"0
"
118,2,6,52,true,samesize,false,false,1,14,green,small,blicket,1,24,big,2/20/2020,20:37,14698,5894,4,1,0,stim-images/object1greensmall.jpg,small,"0
"
118,3,5,78,false,samesize,false,false,2,19,purple,big,toma,15,17,small,2/20/2020,20:38,12389,6987,4,3,0,stim-images/object17purplebig.jpg,big,"0
"
118,4,3,54,false,differentsizes,true,false,0,2,blue,small,wug,22,7,big,2/20/2020,20:38,13107,4864,6,3,0,stim-images/object2bluesmall.jpg,small,"0
"
118,5,2,43,true,contrast,true,false,0,5,red,small,sprock,12,11,big,2/20/2020,20:38,13391,3902,4,6,5,stim-images/object5redsmall.jpg,small,"0
"
118,6,0,43,true,attncheck,true,false,0,5,red,small,sprock,12,11,big,2/20/2020,20:38,13391,3902,4,6,5,stim-images/object5redsmall.jpg,small,"8
"
184,1,4,50,true,differentsizes,false,false,1,14,blue,big,sprock,12,7,small,2/20/2020,17:37,59501,13104,4,2,0,stim-images/object12bluesmall.jpg,small,"0
"
184,2,3,73,false,differentsizes,false,false,1,19,red,big,wug,10,16,small,2/20/2020,17:37,11243,3765,4,3,0,stim-images/object10redsmall.jpg,small,"0
"
184,3,5,93,false,samesize,false,false,1,20,blue,small,gade,5,21,big,2/20/2020,17:38,11512,3172,6,1,0,stim-images/object5bluesmall.jpg,small,"0
"
184,4,6,61,true,samesize,true,false,0,2,red,small,blicket,3,15,big,2/20/2020,17:38,15395,5605,4,3,0,stim-images/object2redsmall.jpg,small,"0
"
184,5,2,86,true,contrast,true,false,0,23,red,small,toma,11,9,big,2/20/2020,17:38,9093,21206,6,5,4,stim-images/object23redsmall.jpg,small,"0
"
184,6,0,86,true,attncheck,true,false,0,23,red,small,toma,11,9,big,2/20/2020,17:38,9093,21206,6,5,4,stim-images/object23redsmall.jpg,small,"5
"
85,1,3,71,false,differentsizes,false,false,1,11,green,small,gade,23,13,big,2/20/2020,20:39,73779,26162,5,3,0,stim-images/object23greenbig.jpg,big,"0
"
85,2,5,50,false,samesize,true,false,0,16,red,small,wug,1,14,big,2/20/2020,20:40,21782,10886,5,2,0,stim-images/object16redsmall.jpg,small,"0
"
85,3,4,50,true,differentsizes,true,false,0,19,blue,big,blicket,22,20,small,2/20/2020,20:41,35251,11136,5,1,0,stim-images/object19bluebig.jpg,big,"0
"
85,4,2,63,true,contrast,true,false,0,8,green,big,sprock,24,10,small,2/20/2020,20:41,19199,13582,5,6,4,stim-images/object8greenbig.jpg,big,"0
"
85,5,6,33,true,samesize,false,false,1,4,red,big,toma,15,9,small,2/20/2020,20:42,12984,7909,4,3,0,stim-images/object15redbig.jpg,big,"0
"
85,6,0,33,true,attncheck,false,false,1,4,red,big,toma,15,9,small,2/20/2020,20:42,12984,7909,4,3,0,stim-images/object15redbig.jpg,big,"7
"
126,1,3,65,false,differentsizes,true,false,0,9,blue,small,blicket,19,7,big,2/20/2020,20:38,20512,11018,5,1,0,stim-images/object9bluesmall.jpg,small,"0
"
126,2,2,25,true,contrast,true,false,0,10,green,big,wug,16,21,small,2/20/2020,20:38,10630,4774,5,4,6,stim-images/object10greenbig.jpg,big,"0
"
126,3,6,30,true,samesize,false,false,1,6,green,small,sprock,20,11,big,2/20/2020,20:39,8856,6250,4,1,0,stim-images/object20greensmall.jpg,small,"0
"
126,4,5,95,false,samesize,false,false,2,1,red,small,toma,13,2,big,2/20/2020,20:39,16256,6897,4,3,0,stim-images/object2redsmall.jpg,small,"0
"
126,5,4,50,true,differentsizes,true,false,0,4,green,small,gade,5,14,big,2/20/2020,20:39,10694,5362,6,2,0,stim-images/object4greensmall.jpg,small,"0
"
126,6,0,50,true,attncheck,true,false,0,4,green,small,gade,5,14,big,2/20/2020,20:39,10694,5362,6,2,0,stim-images/object4greensmall.jpg,small,"6
"
83,1,6,50,true,samesize,false,false,2,24,red,small,wug,10,15,big,2/20/2020,17:53,18207,10141,5,3,0,stim-images/object15redsmall.jpg,small,"0
"
83,2,2,50,true,contrast,false,true,1,2,purple,small,toma,9,17,big,2/20/2020,17:53,28334,4687,5,6,4,stim-images/object9purplesmall.jpg,small,"0
"
83,3,5,88,false,samesize,false,false,2,21,blue,small,sprock,19,18,big,2/20/2020,17:53,9183,3886,4,3,0,stim-images/object18bluesmall.jpg,small,"0
"
83,4,4,60,true,differentsizes,true,false,0,3,purple,small,gade,14,20,big,2/20/2020,17:54,11328,3487,6,1,0,stim-images/object3purplesmall.jpg,small,"0
"
83,5,3,80,false,differentsizes,false,false,1,11,blue,big,blicket,22,23,small,2/20/2020,17:54,18525,7015,4,1,0,stim-images/object22bluesmall.jpg,small,"0
"
83,6,0,80,false,attncheck,false,false,1,11,blue,big,blicket,22,23,small,2/20/2020,17:54,18525,7015,4,1,0,stim-images/object22bluesmall.jpg,small,"7
"
158,1,5,100,false,samesize,false,false,1,23,blue,big,toma,11,16,small,2/20/2020,21:12,14371,13105,5,3,0,stim-images/object11bluebig.jpg,big,"0
"
158,2,4,34,true,differentsizes,true,false,0,12,blue,small,blicket,22,14,big,2/20/2020,21:12,12963,5293,5,2,0,stim-images/object12bluesmall.jpg,small,"0
"
158,3,6,65,true,samesize,false,false,1,13,red,big,wug,3,1,small,2/20/2020,21:13,13881,3993,5,1,0,stim-images/object3redbig.jpg,big,"0
"
158,4,3,84,false,differentsizes,true,false,0,17,purple,big,gade,9,18,small,2/20/2020,21:13,12054,6907,4,1,0,stim-images/object17purplebig.jpg,big,"0
"
158,5,2,35,true,contrast,false,true,1,2,blue,small,sprock,4,7,big,2/20/2020,21:13,10170,4350,6,5,4,stim-images/object4bluesmall.jpg,small,"0
"
158,6,0,35,true,attncheck,false,true,1,2,blue,small,sprock,4,7,big,2/20/2020,21:13,10170,4350,6,5,4,stim-images/object4bluesmall.jpg,small,"6
"
70,1,3,54,false,differentsizes,true,false,0,1,red,big,wug,5,24,small,2/20/2020,20:13,20310,8337,4,2,0,stim-images/object1redbig.jpg,big,"0
"
70,2,2,55,true,contrast,true,false,0,12,blue,big,gade,4,2,small,2/20/2020,20:13,10832,4781,6,4,5,stim-images/object12bluebig.jpg,big,"0
"
70,3,6,55,true,samesize,false,false,1,16,red,big,blicket,11,19,small,2/20/2020,20:14,11616,5812,4,3,0,stim-images/object11redbig.jpg,big,"0
"
70,4,5,40,false,samesize,true,false,0,6,blue,small,sprock,17,20,big,2/20/2020,20:14,9760,5878,4,2,0,stim-images/object6bluesmall.jpg,small,"0
"
70,5,4,52,true,differentsizes,true,false,0,9,green,big,toma,14,22,small,2/20/2020,20:14,12033,5263,6,3,0,stim-images/object9greenbig.jpg,big,"0
"
70,6,0,52,true,attncheck,true,false,0,9,green,big,toma,14,22,small,2/20/2020,20:14,12033,5263,6,3,0,stim-images/object9greenbig.jpg,big,"5
"
162,1,3,51,false,differentsizes,true,false,0,9,purple,big,toma,23,1,small,2/20/2020,21:35,26559,20370,6,2,0,stim-images/object9purplebig.jpg,big,"0
"
162,2,6,31,true,samesize,false,false,1,5,blue,big,blicket,12,18,small,2/20/2020,21:35,24091,7511,5,1,0,stim-images/object12bluebig.jpg,big,"0
"
162,3,2,30,true,contrast,false,true,1,8,blue,big,wug,2,13,small,2/20/2020,21:36,15384,10237,4,6,5,stim-images/object2bluebig.jpg,big,"0
"
162,4,4,52,true,differentsizes,true,false,0,14,red,big,gade,24,16,small,2/20/2020,21:36,10741,10726,5,3,0,stim-images/object14redbig.jpg,big,"0
"
162,5,5,78,false,samesize,false,false,2,11,red,big,sprock,20,19,small,2/20/2020,21:37,15039,4488,6,2,0,stim-images/object19redbig.jpg,big,"0
"
